1.9842,1.3567,0.15191,0.50216,5.0501,5.1418,0.0068245,0.88795
1.9685,1.2553,0.25667,0.39389,5.2026,4.8095,0.0094259,0.22924
2.2796,1.3379,0.19408,0.4944,5.196,5.3138,0.014216,0.51406
3.0846,1.2821,0.2012,0.70271,5.0273,4.7983,0.0080286,0.88046
1.247,1.2417,0.20304,0.29361,4.8495,5.1382,0.017342,0.067313
-1.1567,1.2386,0.14168,-0.11558,4.6601,4.8212,-0.011608,0.74777
0.70286,1.2407,0.2013,0.18191,4.9423,5.205,0.0062535,0.04625
1.4508,1.2528,0.22421,0.31209,4.9466,5.1199,0.0098401,0.15174
1.9512,1.2901,0.19816,0.43709,5.0217,5.1523,0.0061457,0.27331
0.84579,1.2892,0.17314,0.26743,4.977,4.7608,0.0036159,0.86893
1.6524,1.2654,0.20097,0.4039,5.0195,4.7376,0.0070434,0.74057
0.57301,1.3282,0.16663,0.20692,5.0333,5.1289,0.0048545,0.80954
0.78409,1.3611,0.18097,0.24366,5.1434,4.9855,-0.0028175,0.96525
1.0978,1.2927,0.21791,0.25342,5.1879,4.974,-0.012282,0.40739
1.0728,1.2662,0.22726,0.23847,5.0209,5.0254,-0.0067332,0.29483
0.90426,1.2066,0.23069,0.20525,4.962,4.7091,-0.0014469,0.079884
2.0813,1.2904,0.16599,0.50992,4.8727,5.0095,-0.0066341,0.70977
2.0042,1.3984,0.18496,0.46326,5.4541,5.1472,-0.0094173,0.89806
0.83457,1.2508,0.18878,0.22746,4.96,5.0457,0.012663,0.34907
1.8366,1.2916,0.17097,0.44791,4.8726,5.1662,0.018764,0.51472
0.79385,1.2592,0.16299,0.23063,4.7958,5.5126,-0.0057559,0.02135
-0.73296,1.3199,0.21228,-0.11079,5.3612,4.8134,-0.0095494,0.81918
0.96464,1.2502,0.16276,0.27846,4.8228,5.1264,-0.013555,0.35727
1.7714,1.2192,0.21086,0.41428,4.9316,4.6973,-0.006387,0.32949
1.1949,1.3141,0.12019,0.36993,4.7538,5.2029,-0.020884,0.80776
1.3111,1.229,0.17179,0.33722,4.825,5.0378,-0.025743,0.42676
0.2746,1.2924,0.16755,0.15391,4.8825,4.84,0.0073112,0.74198
1.9035,1.2584,0.21472,0.40284,5.2476,5.0339,-0.0092278,0.23863
2.1667,1.1924,0.21572,0.45649,4.8849,4.9698,-0.032912,0.03336
0.10177,1.282,0.21845,0.053268,5.1599,4.8385,-0.0011492,0.4785
2.5221,1.2941,0.16155,0.61663,4.7639,4.9512,0.0036709,0.80907
-0.93666,1.2291,0.19863,-0.13946,4.9319,4.8883,-0.0028413,0.22784
2.1608,1.3218,0.15812,0.52134,4.9206,5.1867,-0.00033426,0.70929
1.9005,1.3676,0.1663,0.47296,5.1934,5.0663,-0.0080817,0.96373
2.4735,1.2483,0.22944,0.49452,5.2039,5.105,-0.0025717,0.023663
1.0354,1.2546,0.19503,0.26438,4.9363,5.0209,0.0010229,0.36603
0.99587,1.2213,0.22693,0.21971,4.9783,4.9475,0.0033418,0.079777
1.183,1.2012,0.22178,0.26767,4.8303,4.9045,-0.0019889,0.043262
1.4104,1.2453,0.21565,0.30344,5.0779,5.1342,-0.0084996,0.093377
2.8966,1.3218,0.16867,0.6867,5.083,4.8913,-0.0011095,0.86902
2.0818,1.306,0.11811,0.54399,4.6869,5.2093,-0.00028529,0.84277
0.11824,1.2188,0.22864,0.040953,5.0358,4.9616,-0.016951,0.10724
0.75953,1.3134,0.20298,0.20515,5.223,4.9485,-0.008342,0.50166
0.63303,1.2651,0.19158,0.19523,4.9046,4.9048,0.0029293,0.50369
1.0758,1.2973,0.17978,0.29457,4.9549,5.031,-0.0018179,0.61264
0.39609,1.2392,0.21813,0.10637,5.1219,4.8654,0.00071787,0.27771
0.70444,1.2827,0.24027,0.14284,5.3244,4.9136,0.010429,0.3061
1.0794,1.2753,0.21432,0.2508,5.0376,5.0838,0.0082154,0.31043
2.5195,1.3399,0.11586,0.61917,4.8226,5.3304,-0.00015218,0.76683
1.8384,1.235,0.21664,0.40957,4.9717,4.8856,0.006047,0.34081
